"package";"bundle";"main_object";"role";"description_bundle";"source";"variables";"auxiliary_files";"n";"k";"has_geometry";"has_coordinates";"coordinate_columns";"has_multiple_x";"candidate_x_variables";"candidate_y_variables";"target_status";"formula_text";"has_referenced_paper";"paper_doi";"paper_title";"paper_use_summary";"paper_model_keywords";"paper_formula_or_equation";"paper_variables_used";"paper_related_datasets";"paper_reference_evidence";"paper_evidence_status";"has_place_name_if_no_geometry";"place_name_columns";"datetime_columns";"theme";"analytical_group";"linked_datasets";"group_has_y";"group_y_variables";"group_x_variables";"duplicate_key";"duplicate_status"
"MASS";"beav2";"beav2";"observation_table";"Body Temperature Series of Beaver 2";"P. S. Reynolds (1994) Time-series analyses of beaver body temperatures. Chapter 11 of Lange, N., Ryan, L., Billard, L., Brillinger, D., Conquest, L. and Greenhouse, J. eds (1994) _Case Studies in Biometry._ New York: John Wiley and Sons.";"day, time, temp, activ";"";100;4;"No";"No";"";"No";"activ";"temp";"documented_formula";"temp ~ activ";"Yes";"";"";"";"";"temp ~ activ | beav2.gls <- gls(temp ~ activ, data = beav2, correlation = corAR1(0.8),";"temp, activ, beav2.gls, gls, beav2, correlation, corAR1, .8";"";"Source: P. S. Reynolds (1994) Time-series analyses of beaver body temperatures. Chapter 11 of Lange, N., Ryan, L., Billard, L., Brillinger, D., Conquest, L. and Greenhouse, J. eds (1994) _Case Studies in Biometry._ New York: John Wiley and Sons. || References: Venables, W. N. and Ripley, B. D. (2002) _Modern Applied Statistics with S._ Fourth edition. Springer. || Description: Reynolds (1994) describes a small part of a study of the long-term temperature dynamics of beaver _Castor canadensis_ in north-central Wisconsin. Body temperature was measured by telemetry every 10 minutes for four females, but data from a one period of less than a day for each of two animals is used there.";"formula_or_model_found";"No";"";"day, time";"environnement / climat";"MASS::bundle::beav2";"beav2";"Yes";"temp";"activ";"beav2::bodytemperatureseriesofbeaver2";"unique"
"MASS";"biopsy";"biopsy";"response_table";"Biopsy Data on Breast Cancer Patients";"P. M. Murphy and D. W. Aha (1992). UCI Repository of machine learning databases. [Machine-readable data repository]. Irvine, CA: University of California, Department of Information and Computer Science. O. L. Mangasarian and W. H. Wolberg (1990) Cancer diagnosis via linear programming. _SIAM News_ *23*, pp 1 & 18. William H. Wolberg and O.L. Mangasarian (1990) Multisurface method of pattern separation for medical diagnosis applied to breast cytology. _Proceedings of the National Academy of Sciences, U.S.A._ *87*, pp. 9193-9196. O. L. Mangasarian, R. Setiono and W.H. Wolberg (1990) Pattern recognition via linear programming: Theory and application to medical diagnosis. In _Large-scale Numerical Optimization_ eds Thomas F. Coleman and Yuying Li, SIAM Publications, Philadelphia, pp 22-30. K. P. Bennett and O. L. Mangasarian (1992) Robust linear programming discrimination of two linearly inseparable sets. _Optimization Methods and Software_ *1*, pp. 23-34 (Gordon & Breach Science Publishers).";"ID, V1, V2, V3, V4, V5, V6, V7, V8, V9, class";"";699;11;"No";"No";"";"No";"";"V1, V2, V3, V4, V5, V6, V7, V8, V9, class";"strong_name";"";"Yes";"";"";"";"";"";"";"";"Venables, W. N. and Ripley, B. D. (2002) _Modern Applied Statistics with S-PLUS._ Fourth Edition. Springer.";"rd_reference_only";"No";"";"";"sante / epidemiologie";"MASS::bundle::biopsy";"biopsy";"Yes";"V1, V2, V3, V4, V5, V6, V7, V8, V9, class";"";"biopsy::biopsydataonbreastcancerpatients";"unique"
"MASS";"birthwt";"birthwt";"response_table";"Risk Factors Associated with Low Infant Birth Weight";"Hosmer, D.W. and Lemeshow, S. (1989) _Applied Logistic Regression._ New York: Wiley";"low, age, lwt, race, smoke, ptl, ht, ui, ftv, bwt";"";189;10;"No";"No";"";"Yes";"age, lwt, race, smoke, ptl, ht, ui, ftv, bwt";"low";"documented_formula";"low ~ .";"Yes";"";"";"Models/methods detected: glm, regression.";"glm, regression";"glm(low ~ ., binomial, bwt | Regression._ New York: Wiley | glm(low ~ ., binomial, bwt)";"low, ., bwt, Regression._, New, York, Wiley";"";"Source: Hosmer, D.W. and Lemeshow, S. (1989) _Applied Logistic Regression._ New York: Wiley || References: Venables, W. N. and Ripley, B. D. (2002) _Modern Applied Statistics with S._ Fourth edition. Springer. || Description: The ‘birthwt’ data frame has 189 rows and 10 columns. The data were collected at Baystate Medical Center, Springfield, Mass during 1986.";"formula_or_model_found";"No";"";"";"a qualifier manuellement";"MASS::bundle::birthwt";"birthwt";"Yes";"low";"age, lwt, race, smoke, ptl, ht, ui, ftv, bwt";"birthwt::riskfactorsassociatedwithlowinfantbirthweight";"unique"
"MASS";"cabbages";"cabbages";"observation_table";"Data from a cabbage field trial";"Rawlings, J. O. (1988) _Applied Regression Analysis: A Research Tool._ Wadsworth and Brooks/Cole. Example 8.4, page 219. (Rawlings cites the original source as the files of the late Dr Gertrude M Cox.)";"Cult, Date, HeadWt, VitC";"";60;4;"No";"No";"";"Yes";"Cult, HeadWt, VitC";"";"unknown";"";"Yes";"";"";"Models/methods detected: regression.";"regression";"Rawlings, J. O. (1988) _Applied Regression Analysis: A Research";"Rawlings, J., O., Applied, Regression, Analysis, A, Research";"";"Source: Rawlings, J. O. (1988) _Applied Regression Analysis: A Research Tool._ Wadsworth and Brooks/Cole. Example 8.4, page 219. (Rawlings cites the original source as the files of the late Dr Gertrude M Cox.) || References: Venables, W. N. and Ripley, B. D. (2002) _Modern Applied Statistics with S-PLUS._ Fourth Edition. Springer. || Description: The ‘cabbages’ data set has 60 observations and 4 variables";"formula_or_model_found";"No";"";"Date";"a qualifier manuellement";"MASS::bundle::cabbages";"cabbages";"No";"";"Cult, HeadWt, VitC";"cabbages::datafromacabbagefieldtrial";"unique"
"MASS";"caith";"caith";"observation_table";"Colours of Eyes and Hair of People in Caithness";"Fisher, R.A. (1940) The precision of discriminant functions. _Annals of Eugenics (London)_ *10*, 422-429.";"fair, red, medium, dark, black";"";4;5;"No";"No";"";"Yes";"fair, red, medium, dark, black";"";"unknown";"";"Yes";"";"";"";"";"";"";"";"Venables, W. N. and Ripley, B. D. (2002) _Modern Applied Statistics with S._ Fourth edition. Springer.";"rd_reference_only";"No";"";"";"environnement / climat";"MASS::bundle::caith";"caith";"No";"";"fair, red, medium, dark, black";"caith::coloursofeyesandhairofpeopleincaithness";"unique"
"MASS";"cats";"cats";"observation_table";"Anatomical Data from Domestic Cats";"R. A. Fisher (1947) The analysis of covariance method for the relation between a part and the whole, _Biometrics_ *3*, 65-68.";"Sex, Bwt, Hwt";"";144;3;"No";"No";"";"Yes";"Sex, Bwt, Hwt";"";"unknown";"";"Yes";"";"";"";"";"";"";"";"Venables, W. N. and Ripley, B. D. (2002) _Modern Applied Statistics with S._ Fourth edition. Springer.";"rd_reference_only";"No";"";"";"a qualifier manuellement";"MASS::bundle::cats";"cats";"No";"";"Sex, Bwt, Hwt";"cats::anatomicaldatafromdomesticcats";"unique"
"MASS";"cement";"cement";"observation_table";"Heat Evolved by Setting Cements";"Woods, H., Steinour, H.H. and Starke, H.R. (1932) Effect of composition of Portland cement on heat evolved during hardening. _Industrial Engineering and Chemistry_, *24*, 1207-1214.";"x1, x2, x3, x4, y";"";13;5;"No";"No";"";"Yes";"x1, x2, x3, x4";"y";"documented_formula";"y ~ x1 + x2 + x3 + x4";"Yes";"";"";"Models/methods detected: lm.";"lm";"lm(y ~ x1 + x2 + x3 + x4, cement | lm(y ~ x1 + x2 + x3 + x4, cement)";"y, x1, x2, x3, x4, cement";"";"Source: Woods, H., Steinour, H.H. and Starke, H.R. (1932) Effect of composition of Portland cement on heat evolved during hardening. _Industrial Engineering and Chemistry_, *24*, 1207-1214. || References: Hald, A. (1957) _Statistical Theory with Engineering Applications._ Wiley, New York. || Description: Experiment on the heat evolved in the setting of each of 13 cements. || Details: Thirteen samples of Portland cement were set. For each sample, the percentages of the four main chemical ingredients was accurately measured. While the cement was setting the amount of heat evolved was also measured.";"formula_or_model_found";"No";"";"";"a qualifier manuellement";"MASS::bundle::cement";"cement";"Yes";"y";"x1, x2, x3, x4";"cement::heatevolvedbysettingcements";"unique"
"MASS";"coop";"coop";"observation_table";"Co-operative Trial in Analytical Chemistry";"Analytical Methods Committee (1987) Recommendations for the conduct and interpretation of co-operative trials, _The Analyst_ *112*, 679-686.";"Lab, Spc, Bat, Conc";"";252;4;"No";"No";"";"Yes";"Lab, Spc, Bat, Conc";"";"unknown";"";"Yes";"";"";"";"";"";"";"";"Venables, W. N. and Ripley, B. D. (2002) _Modern Applied Statistics with S._ Fourth edition. Springer.";"rd_reference_only";"No";"";"";"a qualifier manuellement";"MASS::bundle::coop";"coop";"No";"";"Lab, Spc, Bat, Conc";"coop::cooperativetrialinanalyticalchemistry";"unique"
"MASS";"cpus";"cpus";"observation_table";"Performance of Computer CPUs";"P. Ein-Dor and J. Feldmesser (1987) Attributes of the performance of central processing units: a relative performance prediction model. _Comm. ACM._ *30*, 308-317.";"name, syct, mmin, mmax, cach, chmin, chmax, perf, estperf";"";209;9;"No";"No";"";"Yes";"syct, mmin, mmax, cach, chmin, chmax, perf, estperf";"";"unknown";"";"Yes";"";"";"Models/methods detected: prediction.";"prediction";"of central processing units: a relative performance prediction";"of, central, processing, units, a, relative, performance, prediction";"";"Source: P. Ein-Dor and J. Feldmesser (1987) Attributes of the performance of central processing units: a relative performance prediction model. _Comm. ACM._ *30*, 308-317. || References: Venables, W. N. and Ripley, B. D. (2002) _Modern Applied Statistics with S._ Fourth edition. Springer. || Description: A relative performance measure and characteristics of 209 CPUs.";"formula_or_model_found";"Yes";"name";"";"a qualifier manuellement";"MASS::bundle::cpus";"cpus";"No";"";"syct, mmin, mmax, cach, chmin, chmax, perf, estperf";"cpus::performanceofcomputercpus";"unique"
"MASS";"crabs";"crabs";"observation_table";"Morphological Measurements on Leptograpsus Crabs";"Campbell, N.A. and Mahon, R.J. (1974) A multivariate study of variation in two species of rock crab of genus _Leptograpsus._ _Australian Journal of Zoology_ *22*, 417-425.";"sp, sex, index, FL, RW, CL, CW, BD";"";200;8;"No";"No";"";"Yes";"sp, sex, index, FL, RW, CL, CW, BD";"";"unknown";"";"Yes";"";"";"";"";"";"";"";"Venables, W. N. and Ripley, B. D. (2002) _Modern Applied Statistics with S._ Fourth edition. Springer.";"rd_reference_only";"No";"";"";"a qualifier manuellement";"MASS::bundle::crabs";"crabs";"No";"";"sp, sex, index, FL, RW, CL, CW, BD";"crabs::morphologicalmeasurementsonleptograpsuscrabs";"unique"
"MASS";"eagles";"eagles";"observation_table";"Foraging Ecology of Bald Eagles";"Knight, R. L. and Skagen, S. K. (1988) Agonistic asymmetries and the foraging ecology of Bald Eagles. _Ecology_ *69*, 1188-1194.";"y, n, P, A, V";"";8;5;"No";"No";"";"Yes";"n, P, A, V";"y";"strong_name";"";"Yes";"";"";"Models/methods detected: glm.";"glm";"glm(cbind(y, n - y | eagles.glm <- glm(cbind(y, n - y) ~ P*A + V, data = eagles, | dropterm(eagles.glm) | prof <- profile(eagles.glm)";"cbind, y, n, eagles.glm, P, A, V, eagles, dropterm, prof, profile";"";"Source: Knight, R. L. and Skagen, S. K. (1988) Agonistic asymmetries and the foraging ecology of Bald Eagles. _Ecology_ *69*, 1188-1194. || References: Venables, W. N. and Ripley, B. D. (2002) _Modern Applied Statistics with S-PLUS._ Fourth Edition. Springer. || Description: Knight and Skagen collected during a field study on the foraging behaviour of wintering Bald Eagles in Washington State, USA data concerning 160 attempts by one (pirating) Bald Eagle to steal a chum salmon from another (feeding) Bald Eagle.";"formula_or_model_found";"No";"";"";"biodiversite / ecologie";"MASS::bundle::eagles";"eagles";"Yes";"y";"n, P, A, V";"eagles::foragingecologyofbaldeagles";"unique"
"MASS";"epil";"epil";"response_table";"Seizure Counts for Epileptics";"Thall, P. F. and Vail, S. C. (1990) Some covariance models for longitudinal count data with over-dispersion. _Biometrics_ *46*, 657-671.";"y, trt, base, age, V4, subject, period, lbase, lage";"";236;9;"No";"No";"";"Yes";"trt, V4, lbase, lage";"y";"documented_formula";"y ~ lbase*trt + lage + V4";"Yes";"";"";"Models/methods detected: glm.";"glm";"glm(y ~ lbase*trt + lage + V4, family = poisson, data = epil | glm(y ~ pred + factor(subject | y ~ lbase*trt + lage + V4 | y ~ pred | summary(glm(y ~ lbase*trt + lage + V4, family = poisson, | summary(glm(y ~ pred + factor(subject) + offset(log(time)),";"y, lbase, trt, lage, V4, epil, pred, factor, subject, summary, offset, log, time";"";"Source: Thall, P. F. and Vail, S. C. (1990) Some covariance models for longitudinal count data with over-dispersion. _Biometrics_ *46*, 657-671. || References: Venables, W. N. and Ripley, B. D. (2002) _Modern Applied Statistics with S._ Fourth Edition. Springer. || Description: Thall and Vail (1990) give a data set on two-week seizure counts for 59 epileptics. The number of seizures was recorded for a baseline period of 8 weeks, and then patients were randomly assigned to a treatment group or a control group. Counts were then recorded for four successive two-week periods. The subject's age is the only covariate.";"formula_or_model_found";"No";"";"period";"a qualifier manuellement";"MASS::bundle::epil";"epil";"Yes";"y";"trt, V4, lbase, lage";"epil::seizurecountsforepileptics";"unique"
"MASS";"farms";"farms";"observation_table";"Ecological Factors in Farm Management";"J.C. Gower and D.J. Hand (1996) _Biplots_. Chapman & Hall, Table 4.6. Quoted as from: R.H.G. Jongman, C.J.F. ter Braak and O.F.R. van Tongeren (1987) _Data Analysis in Community and Landscape Ecology._ PUDOC, Wageningen.";"Mois, Manag, Use, Manure";"";20;4;"No";"No";"";"Yes";"Mois, Manag, Use, Manure";"";"unknown";"";"Yes";"";"";"";"";"";"";"";"Venables, W. N. and Ripley, B. D. (2002) _Modern Applied Statistics with S._ Fourth edition. Springer.";"rd_reference_only";"No";"";"";"biodiversite / ecologie";"MASS::bundle::farms";"farms";"No";"";"Mois, Manag, Use, Manure";"farms::ecologicalfactorsinfarmmanagement";"unique"
"MASS";"fgl";"fgl";"observation_table";"Measurements of Forensic Glass Fragments";NA;"RI, Na, Mg, Al, Si, K, Ca, Ba, Fe, type";"";214;10;"No";"No";"";"Yes";"RI, Na, Mg, Al, Si, K, Ca, Ba, Fe, type";"";"unknown";"";"Yes";"";"";"";"";"";"";"";"Venables, W. N. and Ripley, B. D. (2002) _Modern Applied Statistics with S._ Fourth edition. Springer.";"rd_reference_only";"No";"";"";"a qualifier manuellement";"MASS::bundle::fgl";"fgl";"No";"";"RI, Na, Mg, Al, Si, K, Ca, Ba, Fe, type";"fgl::measurementsofforensicglassfragments";"unique"
"MASS";"forbes";"forbes";"observation_table";"Forbes' Data on Boiling Points in the Alps";"A. C. Atkinson (1985) _Plots, Transformations and Regression._ Oxford. S. Weisberg (1980) _Applied Linear Regression._ Wiley.";"bp, pres";"";17;2;"No";"No";"";"Yes";"bp, pres";"";"unknown";"";"Yes";"";"";"Models/methods detected: regression.";"regression";"A. C. Atkinson (1985) _Plots, Transformations and Regression._ | S. Weisberg (1980) _Applied Linear Regression._ Wiley.";"A., C., Atkinson, Plots, Transformations, and, Regression._, S., Weisberg, Applied, Linear, Wiley.";"";"Source: A. C. Atkinson (1985) _Plots, Transformations and Regression._ Oxford. S. Weisberg (1980) _Applied Linear Regression._ Wiley. || Description: A data frame with 17 observations on boiling point of water and barometric pressure in inches of mercury.";"formula_or_model_found";"No";"";"";"a qualifier manuellement";"MASS::bundle::forbes";"forbes";"No";"";"bp, pres";"forbes::forbesdataonboilingpointsinthealps";"unique"
"MASS";"gehan";"gehan";"observation_table";"Remission Times of Leukaemia Patients";"Cox, D. R. and Oakes, D. (1984) _Analysis of Survival Data._ Chapman & Hall, p. 7. Taken from Gehan, E.A. (1965) A generalized Wilcoxon test for comparing arbitrarily single-censored samples. _Biometrika_ *52*, 203-233.";"pair, time, cens, treat";"";42;4;"No";"No";"";"Yes";"pair, cens, treat";"";"unknown";"";"Yes";"";"";"";"";"gehan.surv <- survfit(Surv(time, cens) ~ treat, data = gehan, | survreg(Surv(time, cens) ~ factor(pair) + treat, gehan, dist = ""exponential"") | summary(survreg(Surv(time, cens) ~ treat, gehan, dist = ""exponential"")) | summary(survreg(Surv(time, cens) ~ treat, gehan)) | gehan.cox <- coxph(Surv(time, cens) ~ treat, gehan)";"gehan.surv, survfit, Surv, time, cens, treat, gehan, survreg, factor, pair, dist, exponential, summary, gehan.cox, coxph";"";"Source: Cox, D. R. and Oakes, D. (1984) _Analysis of Survival Data._ Chapman & Hall, p. 7. Taken from Gehan, E.A. (1965) A generalized Wilcoxon test for comparing arbitrarily single-censored samples. _Biometrika_ *52*, 203-233. || References: Venables, W. N. and Ripley, B. D. (2002) _Modern Applied Statistics with S._ Fourth edition. Springer. || Description: A data frame from a trial of 42 leukaemia patients. Some were treated with the drug _6-mercaptopurine_ and the rest are controls. The trial was designed as matched pairs, both withdrawn from the trial when either came out of remission.";"formula_or_model_found";"No";"";"time";"environnement / climat";"MASS::bundle::gehan";"gehan";"No";"";"pair, cens, treat";"gehan::remissiontimesofleukaemiapatients";"unique"
"MASS";"genotype";"genotype";"observation_table";"Rat Genotype Data";"Scheffe, H. (1959) _The Analysis of Variance_ Wiley p. 140. Bailey, D. W. (1953) _The Inheritance of Maternal Influences on the Growth of the Rat._ Unpublished Ph.D. thesis, University of California. Table B of the Appendix.";"Litter, Mother, Wt";"";61;3;"No";"No";"";"Yes";"Litter, Mother, Wt";"";"unknown";"";"Yes";"";"";"";"";"";"";"";"Venables, W. N. and Ripley, B. D. (2002) _Modern Applied Statistics with S-PLUS._ Fourth Edition. Springer.";"rd_reference_only";"No";"";"";"a qualifier manuellement";"MASS::bundle::genotype";"genotype";"No";"";"Litter, Mother, Wt";"genotype::ratgenotypedata";"unique"
"MASS";"geyser";"geyser";"observation_table";"Old Faithful Geyser Data";NA;"waiting, duration";"";299;2;"No";"No";"";"Yes";"waiting, duration";"";"unknown";"";"Yes";"";"";"";"";"";"";"";"Azzalini, A. and Bowman, A. W. (1990) A look at some data on the Old Faithful geyser. _Applied Statistics_ *39*, 357-365. Venables, W. N. and Ripley, B. D. (2002) _Modern Applied Statistics with S._ Fourth edition. Springer.";"rd_reference_only";"No";"";"";"a qualifier manuellement";"MASS::bundle::geyser";"geyser";"No";"";"waiting, duration";"geyser::oldfaithfulgeyserdata";"unique"
"MASS";"gilgais";"gilgais";"observation_table";"Line Transect of Soil in Gilgai Territory";"Webster, R. (1977) Spectral analysis of gilgai soil. _Australian Journal of Soil Research_ *15*, 191-204. Laslett, G. M. (1989) Kriging and splines: An empirical comparison of their predictive performance in some applications (with discussion). _Journal of the American Statistical Association_ *89*, 319-409";"pH00, pH30, pH80, e00, e30, e80, c00, c30, c80";"";365;9;"No";"No";"";"Yes";"pH00, pH30, pH80, e00, e30, e80, c00, c30, c80";"";"unknown";"";"Yes";"";"";"";"";"";"";"";"Venables, W. N. and Ripley, B. D. (2002) _Modern Applied Statistics with S._ Fourth edition. Springer.";"rd_reference_only";"No";"";"";"environnement / climat";"MASS::bundle::gilgais";"gilgais";"No";"";"pH00, pH30, pH80, e00, e30, e80, c00, c30, c80";"gilgais::linetransectofsoilingilgaiterritory";"unique"
"MASS";"hills";"hills";"observation_table";"Record Times in Scottish Hill Races";"A.C. Atkinson (1986) Comment: Aspects of diagnostic regression analysis. _Statistical Science_ *1*, 397-402. [A.C. Atkinson (1988) Transformations unmasked. _Technometrics_ *30*, 311-318 ""corrects"" the time for Knock Hill from 78.65 to 18.65. It is unclear if this based on the original records.]";"dist, climb, time";"";35;3;"No";"No";"";"Yes";"dist, climb";"";"unknown";"";"Yes";"";"";"Models/methods detected: regression.";"regression";"A.C. Atkinson (1986) Comment: Aspects of diagnostic regression";"A.C., Atkinson, Comment, Aspects, of, diagnostic, regression";"";"Source: A.C. Atkinson (1986) Comment: Aspects of diagnostic regression analysis. _Statistical Science_ *1*, 397-402. [A.C. Atkinson (1988) Transformations unmasked. _Technometrics_ *30*, 311-318 “corrects” the time for Knock Hill from 78.65 to 18.65. It is unclear if this based on the original records.] || References: Venables, W. N. and Ripley, B. D. (2002) _Modern Applied Statistics with S._ Fourth edition. Springer. || Description: The record times in 1984 for 35 Scottish hill races.";"formula_or_model_found";"No";"";"time";"a qualifier manuellement";"MASS::bundle::hills";"hills";"No";"";"dist, climb";"hills::recordtimesinscottishhillraces";"unique"
"MASS";"housing";"housing";"response_table";"Frequency Table from a Copenhagen Housing Conditions Survey";"Madsen, M. (1976) Statistical analysis of multiple contingency tables. Two examples. _Scand. J. Statist._ *3*, 97-106. Cox, D. R. and Snell, E. J. (1984) _Applied Statistics, Principles and Examples_. Chapman & Hall.";"Sat, Infl, Type, Cont, Freq";"";72;5;"No";"No";"";"Yes";"Sat, Infl, Type, Cont";"Freq";"documented_formula";"Freq ~ Infl*Type*Cont + Sat";"Yes";"";"";"Models/methods detected: anova, glm.";"anova, glm";"glm(Freq ~ Infl*Type*Cont + Sat, family = poisson, data = housing | Freq ~ Infl*Type*Cont + Sat*(Infl+Type+Cont | Sat ~ Infl + Type + Cont | Sat ~ Infl*Type*Cont | house.glm0 <- glm(Freq ~ Infl*Type*Cont + Sat, family = poisson, | addterm(house.glm0, ~. + Sat:(Infl+Type+Cont), test = ""Chisq"")";"Freq, Infl, Type, Cont, Sat, housing, house.glm0, addterm, ., test, Chisq";"";"Source: Madsen, M. (1976) Statistical analysis of multiple contingency tables. Two examples. _Scand. J. Statist._ *3*, 97-106. Cox, D. R. and Snell, E. J. (1984) _Applied Statistics, Principles and Examples_. Chapman & Hall. || References: Venables, W. N. and Ripley, B. D. (2002) _Modern Applied Statistics with S._ Fourth edition. Springer. || Description: The ‘housing’ data frame has 72 rows and 5 variables.";"formula_or_model_found";"No";"";"";"housing / immobilier";"MASS::bundle::housing";"housing";"Yes";"Freq";"Sat, Infl, Type, Cont";"housing::frequencytablefromacopenhagenhousingconditionssurvey";"unique"
"MASS";"immer";"immer";"response_table";"Yields from a Barley Field Trial";"Immer, F.R., Hayes, H.D. and LeRoy Powers (1934) Statistical determination of barley varietal adaptation. _Journal of the American Society for Agronomy_ *26*, 403-419. Fisher, R.A. (1947) _The Design of Experiments._ 4th edition. Edinburgh: Oliver and Boyd.";"Loc, Var, Y1, Y2";"";30;4;"No";"No";"";"No";"";"Loc, Var, Y1, Y2";"strong_name";"";"Yes";"";"";"";"";"aov(cbind(Y1,Y2 | aov((Y1+Y2 | immer.aov <- aov(cbind(Y1,Y2) ~ Loc + Var, data = immer) | immer.aov <- aov((Y1+Y2)/2 ~ Var + Loc, data = immer)";"cbind, Y1, Y2, immer.aov, Loc, Var, immer";"";"Source: Immer, F.R., Hayes, H.D. and LeRoy Powers (1934) Statistical determination of barley varietal adaptation. _Journal of the American Society for Agronomy_ *26*, 403-419. Fisher, R.A. (1947) _The Design of Experiments._ 4th edition. Edinburgh: Oliver and Boyd. || References: Venables, W. N. and Ripley, B. D. (2002) _Modern Applied Statistics with S-PLUS._ Fourth Edition. Springer. || Description: The ‘immer’ data frame has 30 rows and 4 columns. Five varieties of barley were grown in six locations in each of 1931 and 1932.";"formula_or_model_found";"No";"";"";"agronomie / agriculture";"MASS::bundle::immer";"immer";"Yes";"Loc, Var, Y1, Y2";"";"immer::yieldsfromabarleyfieldtrial";"unique"
"MASS";"leuk";"leuk";"response_table";"Survival Times and White Blood Counts for Leukaemia Patients";"Cox, D. R. and Oakes, D. (1984) _Analysis of Survival Data_. Chapman & Hall, p. 9. Taken from Feigl, P. & Zelen, M. (1965) Estimation of exponential survival probabilities with concomitant information. _Biometrics_ *21*, 826-838.";"wbc, ag, time";"";33;3;"No";"No";"";"No";"";"wbc, ag";"strong_name";"";"Yes";"";"";"";"";"plot(survfit(Surv(time) ~ ag, data = leuk), lty = 2:3, col = 2:3) | leuk.cox <- coxph(Surv(time) ~ ag + log(wbc), leuk)";"plot, survfit, Surv, time, ag, leuk, lty, col, leuk.cox, coxph, log, wbc";"";"Source: Cox, D. R. and Oakes, D. (1984) _Analysis of Survival Data_. Chapman & Hall, p. 9. Taken from Feigl, P. & Zelen, M. (1965) Estimation of exponential survival probabilities with concomitant information. _Biometrics_ *21*, 826-838. || References: Venables, W. N. and Ripley, B. D. (2002) _Modern Applied Statistics with S._ Fourth edition. Springer. || Description: A data frame of data from 33 leukaemia patients. || Details: Survival times are given for 33 patients who died from acute myelogenous leukaemia. Also measured was the patient's white blood cell count at the time of diagnosis. The patients were also factored into 2 groups according to the presence or absence of a morphologic characteristic of white blood cells. Patients termed AG positive were identified by the presence of Auer rods and/or significant granulation of the leukaemic cells in the bone marrow at the time of diagnosis.";"formula_or_model_found";"No";"";"time";"a qualifier manuellement";"MASS::bundle::leuk";"leuk";"Yes";"wbc, ag";"";"leuk::survivaltimesandwhitebloodcountsforleukaemiapatients";"unique"
"MASS";"mammals";"mammals";"observation_table";"Brain and Body Weights for 62 Species of Land Mammals";"Weisberg, S. (1985) _Applied Linear Regression._ 2nd edition. Wiley, pp. 144-5. Selected from: Allison, T. and Cicchetti, D. V. (1976) Sleep in mammals: ecological and constitutional correlates. _Science_ *194*, 732-734.";"body, brain";"";62;2;"No";"No";"";"Yes";"body, brain";"";"unknown";"";"Yes";"";"";"Models/methods detected: regression.";"regression";"Weisberg, S. (1985) _Applied Linear Regression._ 2nd edition.";"Weisberg, S., Applied, Linear, Regression._, nd, edition.";"";"Source: Weisberg, S. (1985) _Applied Linear Regression._ 2nd edition. Wiley, pp. 144-5. Selected from: Allison, T. and Cicchetti, D. V. (1976) Sleep in mammals: ecological and constitutional correlates. _Science_ *194*, 732-734. || References: Venables, W. N. and Ripley, B. D. (2002) _Modern Applied Statistics with S-PLUS._ Fourth Edition. Springer. || Description: A data frame with average brain and body weights for 62 species of land mammals.";"formula_or_model_found";"No";"";"";"biodiversite / ecologie";"MASS::bundle::mammals";"mammals";"No";"";"body, brain";"mammals::brainandbodyweightsfor62speciesoflandmammals";"unique"
"MASS";"mcycle";"mcycle";"observation_table";"Data from a Simulated Motorcycle Accident";"Silverman, B. W. (1985) Some aspects of the spline smoothing approach to non-parametric curve fitting. _Journal of the Royal Statistical Society series B_ *47*, 1-52.";"times, accel";"";133;2;"No";"No";"";"No";"accel";"";"unknown";"";"Yes";"";"";"";"";"";"";"";"Venables, W. N. and Ripley, B. D. (2002) _Modern Applied Statistics with S-PLUS._ Fourth Edition. Springer.";"rd_reference_only";"No";"";"times";"transport / mobilite";"MASS::bundle::mcycle";"mcycle";"No";"";"accel";"mcycle::datafromasimulatedmotorcycleaccident";"unique"
"MASS";"menarche";"menarche";"response_table";"Age of Menarche in Warsaw";"Milicer, H. and Szczotka, F. (1966) Age at Menarche in Warsaw girls in 1965. _Human Biology_ *38*, 199-203. The data are also given in Aranda-Ordaz, F.J. (1981) On two families of transformations to additivity for binary response data. _Biometrika_ *68*, 357-363.";"Age, Total, Menarche";"";25;3;"No";"No";"";"No";"";"Age, Total, Menarche";"strong_name";"";"Yes";"";"";"Models/methods detected: glm.";"glm";"glm(cbind(Menarche, Total - Menarche | mprob <- glm(cbind(Menarche, Total - Menarche) ~ Age,";"cbind, Menarche, Total, mprob, Age";"";"Source: Milicer, H. and Szczotka, F. (1966) Age at Menarche in Warsaw girls in 1965. _Human Biology_ *38*, 199-203. The data are also given in Aranda-Ordaz, F.J. (1981) On two families of transformations to additivity for binary response data. _Biometrika_ *68*, 357-363. || References: Venables, W. N. and Ripley, B. D. (2002) _Modern Applied Statistics with S._ Fourth edition. Springer. || Description: Proportions of female children at various ages during adolescence who have reached menarche.";"formula_or_model_found";"No";"";"";"crime / conflit / securite";"MASS::bundle::menarche";"menarche";"Yes";"Age, Total, Menarche";"";"menarche::ageofmenarcheinwarsaw";"unique"
